"u_id","perk_label","total_trips","total_spend","avg_stay_length","age","gender","child_flag"
"23557","Exclusive discounts","2","3802","2.50","66","F","0"
"94883","Free checked bag","2","1094.09","0.25","53","F","0"
"101486","Free checked bag","2","2641.91","1.13","52","F","1"
"101961","Free hotel meal","5","4040.66","2.75","44","F","0"
"106907","Free checked bag","1","36318.12","2.75","46","F","1"
"118043","Free hotel meal","5","8977.29","3.00","53","F","1"
"120851","Exclusive discounts","1","2386.68","1.38","52","F","1"
"125845","Free checked bag","3","2617.32","0.78","41","F","0"
"133058","Free checked bag","1","423.51","0.00","20","F","0"
"149058","Free hotel meal","5","8202.66","3.75","52","F","1"
"152583","Exclusive discounts","1","1006.83","0.38","38","F","0"
"153982","Exclusive discounts","3","1958.87","0.88","46","F","1"
"160754","Free checked bag","1","735.62","0.38","47","F","1"
"164522","Free checked bag","1","3590.32","1.75","49","F","0"
"167852","Exclusive discounts","0","0","0.00","19","F","0"
"171470","No cancelation fee","2","11038.07","0.00","25","F","0"
"174997","1 night free hotel with flight","3","3810.49","0.63","33","F","0"
"175032","Exclusive discounts","3","4715.25","1.44","30","F","0"
"181157","1 night free hotel with flight","3","6162.43","1.38","54","F","0"
"182191","Free checked bag","1","537.67","0.00","20","F","1"
"187212","Exclusive discounts","3","2798.57","1.13","56","F","1"
"189676","Free checked bag","2","6707.31","2.38","37","F","1"
"190866","1 night free hotel with flight","5","4286.00","1.56","38","F","0"
"195192","Free checked bag","1","714.29","0.13","29","F","0"
"204943","Free checked bag","6","18110.76","6.75","42","M","0"
"204997","No cancelation fee","4","10398.63","2.75","39","F","0"
"205044","Free checked bag","3","9110.35","1.78","41","F","1"
"206011","Exclusive discounts","4","2317.59","1.25","40","F","1"
"216796","Free hotel meal","1","10303.74","2.75","23","F","0"
"217114","Exclusive discounts","0","0","0.00","20","O","1"
"217136","Exclusive discounts","2","1578.57","0.63","40","F","1"
"220725","1 night free hotel with flight","4","4764.92","2.11","41","F","0"
"224996","Free checked bag","2","1128.61","0.13","44","F","1"
"226367","1 night free hotel with flight","3","3817.21","1.00","44","F","0"
"228195","Free checked bag","0","0","0.00","28","F","1"
"228872","Exclusive discounts","2","1869.21","1.75","36","M","0"
"229009","1 night free hotel with flight","3","5281.89","0.63","18","F","0"
"229108","Exclusive discounts","1","877.22","0.00","26","F","0"
"229330","1 night free hotel with flight","4","5990.11","1.13","48","F","0"
"232647","Free checked bag","2","2580.1","1.38","19","F","0"
"249521","Exclusive discounts","2","1208.02","0.50","60","F","1"
"252835","Exclusive discounts","5","3378.55","1.63","39","F","1"
"258451","Free hotel meal","1","4628","3.25","24","F","0"
"264470","Free checked bag","2","3091.02","1.25","46","F","1"
"276512","Exclusive discounts","1","595.69","0.25","42","F","1"
"281952","Exclusive discounts","2","1032.72","0.38","38","F","0"
"283325","Free checked bag","2","3864.27","0.88","51","F","0"
"290123","Free checked bag","7","10690.11","2.11","42","F","0"
"297546","Free hotel meal","5","5694.72","3.63","52","F","0"
"298253","Exclusive discounts","1","712.42","0.00","47","F","1"
"299476","Exclusive discounts","1","334.38","0.22","39","F","0"
"306165","Free checked bag","0","0","0.00","22","F","0"
"306819","Free checked bag","2","1536.16","0.50","61","F","1"
"312488","Exclusive discounts","1","706.1","0.13","31","M","0"
"313724","1 night free hotel with flight","5","6390.30","2.50","52","F","0"
"316527","1 night free hotel with flight","4","8142.89","1.75","42","F","1"
"317688","Exclusive discounts","4","2987.74","1.13","41","F","1"
"322867","Exclusive discounts","1","1685.04","1.00","47","F","0"
"324191","Exclusive discounts","2","2631.74","1.25","40","F","0"
"328590","1 night free hotel with flight","3","7221.61","1.38","56","F","0"
"330764","Free checked bag","3","1845.04","1.13","40","F","0"
"330893","Free checked bag","3","1847.61","0.88","44","F","1"
"331039","Free checked bag","1","11269.74","2.00","45","F","1"
"334787","Free checked bag","3","1948.17","0.88","54","F","0"
"337227","Free checked bag","0","0","0.00","35","F","0"
"338086","Exclusive discounts","2","1259.69","0.50","41","F","1"
"340166","Free checked bag","1","474","0.25","51","M","1"
"343928","Exclusive discounts","2","6014.62","0.50","66","F","0"
"347778","Free checked bag","5","10412.69","1.44","50","F","0"
"348817","1 night free hotel with flight","4","4807.62","1.50","29","F","0"
"348863","Free checked bag","0","0","0.00","68","F","0"
"349132","Free checked bag","3","4957.06","1.78","49","F","0"
"350648","Exclusive discounts","1","1904.36","1.00","19","F","0"
"353271","Exclusive discounts","1","680.4","0.13","27","F","1"
"353694","Exclusive discounts","2","2236.37","1.25","40","F","1"
"354050","1 night free hotel with flight","5","5064.88","1.75","50","F","0"
"354260","Exclusive discounts","2","1945.01","0.38","50","F","0"
"354311","Free checked bag","2","1460.89","0.50","46","F","0"
"354950","Free checked bag","1","1349.54","0.88","54","M","0"
"356046","Free checked bag","2","1581.81","0.63","35","F","0"
"357737","Free hotel meal","5","5925.90","2.88","42","F","1"
"359072","Exclusive discounts","3","1936.47","1.25","52","F","1"
"359080","1 night free hotel with flight","4","7213.56","0.75","43","F","0"
"359653","Exclusive discounts","2","1918.33","0.63","56","M","0"
"361459","Exclusive discounts","1","723.91","0.25","42","F","1"
"361759","Exclusive discounts","4","2025.59","0.56","53","F","0"
"363535","1 night free hotel with flight","3","3638.15","1.63","31","F","0"
"365825","1 night free hotel with flight","2","4677.63","2.38","46","F","0"
"371201","Exclusive discounts","1","199.47","0.00","29","M","1"
"372970","Exclusive discounts","2","1977.3","0.38","35","F","0"
"373489","Exclusive discounts","1","8777.31","1.44","38","F","1"
"374331","1 night free hotel with flight","2","7192.52","1.50","43","M","0"
"374340","Free checked bag","1","3966.19","0.00","35","F","0"
"374341","Free hotel meal","3","6840","2.75","26","F","0"
"375160","Free checked bag","0","0","0.00","21","F","0"
"375729","Exclusive discounts","3","3513.16","1.13","54","F","0"
"375751","Free checked bag","3","1793.56","0.88","51","F","0"
"376159","Free checked bag","2","1075.24","0.75","43","F","0"
"377069","Free checked bag","1","1853.34","0.00","69","F","0"
"377411","Exclusive discounts","2","2320.61","0.75","38","F","0"
"378565","Free hotel meal","5","9442.63","5.63","41","F","1"
"379543","Exclusive discounts","3","3103.12","1.00","57","F","0"
"380434","Exclusive discounts","3","2839.76","1.00","50","F","1"
"380436","Exclusive discounts","1","938.25","0.63","45","F","0"
"380757","Free checked bag","3","2071.62","1.88","47","F","1"
"380874","Exclusive discounts","3","1901.25","0.88","55","F","0"
"380949","1 night free hotel with flight","5","5144.87","1.63","47","F","0"
"381259","Free checked bag","1","855.48","0.25","22","F","1"
"381465","Free hotel meal","4","3924.95","4.63","34","F","0"
"382181","Exclusive discounts","3","2161.04","0.75","37","F","0"
"382384","Free checked bag","1","384.63","0.13","57","F","0"
"382533","Exclusive discounts","0","0","0.00","19","F","0"
"385689","1 night free hotel with flight","4","4926.31","2.13","50","F","1"
"386255","Exclusive discounts","1","2144","0.50","33","F","1"
"386469","Exclusive discounts","0","0","0.00","18","F","0"
"386914","Free checked bag","2","22977.09","0.25","47","F","1"
"387282","Exclusive discounts","1","3960","0.50","31","F","1"
"387783","Exclusive discounts","3","3229.26","1.88","54","M","1"
"388328","Free hotel meal","5","6215.70","2.78","51","F","1"
"388767","Free checked bag","1","2262.34","1.25","45","F","1"
"388947","Exclusive discounts","3","2267.09","0.56","41","M","0"
"389434","1 night free hotel with flight","5","5084.63","1.75","43","F","0"
"389662","Exclusive discounts","3","1566.18","0.63","39","F","0"
"389759","1 night free hotel with flight","3","6495.69","1.00","33","F","1"
"390811","Free checked bag","3","2726.02","1.50","41","F","0"
"392453","Exclusive discounts","1","1559.98","1.38","58","F","0"
"395202","Exclusive discounts","1","2964","1.63","27","F","0"
"395981","1 night free hotel with flight","3","4812.92","0.75","52","F","0"
"396552","Free checked bag","4","1766.85","0.75","46","F","0"
"399137","1 night free hotel with flight","4","7335.47","2.00","54","F","0"
"399218","Exclusive discounts","2","856.9","0.38","44","F","1"
"399799","Free checked bag","4","2228.20","1.38","56","F","0"
"400275","Exclusive discounts","2","2388.05","0.63","56","F","1"
"400582","1 night free hotel with flight","4","3675.89","1.38","33","F","0"
"400899","1 night free hotel with flight","3","3964.01","1.50","46","F","0"
"401245","Exclusive discounts","3","1927.80","1.00","29","F","0"
"402332","Exclusive discounts","2","1416.90","0.38","33","F","0"
"402978","1 night free hotel with flight","4","3787.04","2.00","52","F","0"
"403881","1 night free hotel with flight","4","5648.67","1.75","45","F","0"
"404879","1 night free hotel with flight","4","7032.88","1.50","39","F","0"
"405305","Exclusive discounts","3","3755.60","0.67","46","F","1"
"406210","Exclusive discounts","2","2748.81","1.75","22","F","1"
"407118","Free hotel meal","3","9539.68","6.25","53","F","0"
"407250","Exclusive discounts","4","3264.57","1.50","37","F","0"
"407275","Exclusive discounts","4","3499.95","2.00","43","F","0"
"407434","Exclusive discounts","1","3186","1.13","53","F","1"
"407642","Exclusive discounts","2","1703.77","0.50","30","F","0"
"408551","Exclusive discounts","2","1959.39","0.67","44","F","1"
"409073","Free checked bag","3","2788.56","0.88","43","F","0"
"411179","Free hotel meal","3","7399.20","2.75","52","F","0"
"411701","Exclusive discounts","2","1040.27","0.38","41","F","0"
"413128","Free hotel meal","5","14018.76","2.90","30","F","0"
"413340","Exclusive discounts","3","1628.06","1.00","48","F","1"
"413418","Exclusive discounts","3","866.67","0.88","55","F","0"
"413658","Free checked bag","3","5926.58","0.88","52","F","1"
"414128","1 night free hotel with flight","4","8799.65","1.56","28","F","0"
"415282","Exclusive discounts","2","5917.88","1.13","42","F","1"
"415381","Exclusive discounts","3","1155.21","0.63","47","F","0"
"415581","1 night free hotel with flight","3","3667.77","2.38","43","F","0"
"416319","Exclusive discounts","2","515.60","0.38","56","F","0"
"416580","1 night free hotel with flight","5","3716.35","1.75","44","F","0"
"417679","1 night free hotel with flight","5","5031.82","1.88","38","F","0"
"418329","Free hotel meal","3","3771.52","3.50","50","M","1"
"418488","1 night free hotel with flight","4","4124.60","2.00","39","F","0"
"418692","1 night free hotel with flight","3","9218.70","2.20","40","F","0"
"420648","1 night free hotel with flight","3","4255.15","1.50","53","F","1"
"420669","No cancelation fee","4","5790.05","2.88","52","F","1"
"421247","Exclusive discounts","4","2747.59","1.25","43","F","1"
"421515","Free checked bag","2","1389.10","0.50","32","F","0"
"421666","Free checked bag","2","2135.77","0.75","31","F","1"
"421700","1 night free hotel with flight","3","4816.94","2.13","41","F","1"
"421870","Free checked bag","3","24221.07","0.88","30","M","1"
"422066","Free checked bag","4","5219.98","2.75","56","F","1"
"422668","Exclusive discounts","0","0","0.00","18","F","0"
"423042","1 night free hotel with flight","6","3835.36","2.38","43","F","1"
"423413","Exclusive discounts","1","10760","2.50","18","F","0"
"424553","Exclusive discounts","3","2312.35","2.13","50","F","0"
"425632","Free checked bag","3","3216.98","1.38","46","F","0"
"425653","Free checked bag","0","0","0.00","21","M","1"
"425953","Free checked bag","4","2391.41","1.25","39","F","0"
"425966","Free checked bag","2","1979.67","0.63","57","F","0"
"426478","1 night free hotel with flight","2","3780.48","1.13","26","F","0"
"427426","Exclusive discounts","3","978.65","0.50","37","F","0"
"427506","1 night free hotel with flight","3","3873.68","1.13","55","F","1"
"428056","1 night free hotel with flight","4","4577.27","1.50","38","M","0"
"428552","Exclusive discounts","2","1394.89","0.38","38","F","0"
"428858","Free hotel meal","3","11643.33","4.38","22","F","0"
"429345","Exclusive discounts","1","714","0.75","67","M","1"
"429375","Free checked bag","3","3403.83","0.38","35","F","0"
"430722","1 night free hotel with flight","3","5612.99","2.13","29","M","0"
"431144","Exclusive discounts","2","2009.82","1.13","52","F","0"
"431337","Free checked bag","3","3306.66","1.13","39","F","0"
"431602","1 night free hotel with flight","3","4276.35","0.63","38","F","0"
"431746","Exclusive discounts","1","986.16","0.25","41","F","0"
"431899","Free checked bag","1","2817.18","1.25","45","F","0"
"431912","Exclusive discounts","1","295.89","0.00","36","F","1"
"432333","Exclusive discounts","2","2260.36","1.25","50","F","1"
"432637","Exclusive discounts","3","2820.70","1.00","37","F","1"
"432941","Free hotel meal","4","6964.72","2.75","41","F","0"
"433080","Exclusive discounts","4","3378.21","1.88","45","F","0"
"433339","Free checked bag","2","2565.64","1.88","26","F","1"
"433905","Free checked bag","1","3920","1.75","26","F","0"
"434238","Free checked bag","2","140.92","0.13","51","F","1"
"434623","1 night free hotel with flight","4","5988.95","1.75","35","F","0"
"435231","Free checked bag","2","1051.88","1.00","31","F","0"
"435596","Exclusive discounts","2","2141.43","0.75","54","F","0"
"435669","Exclusive discounts","2","1762.24","0.25","45","F","1"
"435837","Exclusive discounts","1","1848","1.50","52","F","0"
"435882","Free checked bag","3","2394.79","0.67","52","F","0"
"436320","Free checked bag","2","1174.43","0.75","50","F","1"
"436894","Exclusive discounts","2","1370.81","1.13","43","F","0"
"437069","Free hotel meal","5","4740.40","2.63","44","F","0"
"437162","Exclusive discounts","2","2184.44","1.00","31","F","0"
"437251","Free checked bag","3","1609.12","0.88","44","F","0"
"437539","Free checked bag","5","3491.15","1.63","47","F","0"
"437549","Exclusive discounts","3","2429.85","1.38","40","F","0"
"438189","Free checked bag","6","5595.23","1.67","37","F","0"
"438406","1 night free hotel with flight","4","4216.06","0.88","44","F","0"
"438551","Free checked bag","3","38957.92","3.75","37","F","1"
"438596","Exclusive discounts","2","1480.48","1.13","25","F","0"
"438839","Free hotel meal","3","4052.33","2.88","51","F","1"
"438937","Exclusive discounts","2","2210.34","0.75","38","F","0"
"438985","Free hotel meal","3","17241.90","3.25","31","F","0"
"438995","Exclusive discounts","0","0","0.00","24","F","0"
"439052","1 night free hotel with flight","4","4988.48","2.22","53","F","0"
"439120","Free checked bag","2","890.91","0.13","39","M","0"
"439363","Free checked bag","4","2820.30","2.25","52","F","0"
