"u_id","total_trips","avg_stay_length","avg_checked_bags","cancellation_rate","total_spend","avg_flight_discount_used","avg_hotel_discount_used","booking_rate","child_flag"
"23557","2","2.50","0.00","0.00","3802","0.00","0.04","0.25","0"
"94883","2","0.25","0.13","0.00","1094.09","0.00","0.01","0.25","0"
"101486","2","1.13","0.00","0.00","2641.91","0.02","0.00","0.25","1"
"101961","5","2.75","0.25","0.00","4040.66","0.04","0.01","0.63","0"
"106907","1","2.75","1.25","0.13","36318.12","0.00","0.00","0.25","1"
"118043","5","3.00","0.38","0.00","8977.29","0.05","0.04","0.63","1"
"120851","1","1.38","0.00","0.00","2386.68","0.06","0.00","0.13","1"
"125845","3","0.78","0.22","0.00","2617.32","0.02","0.01","0.33","0"
"133058","1","0.00","0.00","0.00","423.51","0.00","0.01","0.13","0"
"149058","5","3.75","0.25","0.00","8202.66","0.01","0.00","0.63","1"
"152583","1","0.38","0.25","0.00","1006.83","0.02","0.02","0.13","0"
"153982","3","0.88","0.13","0.00","1958.87","0.00","0.02","0.38","1"
"160754","1","0.38","0.13","0.00","735.62","0.00","0.00","0.13","1"
"164522","1","1.75","0.13","0.00","3590.32","0.01","0.01","0.13","0"
"167852","0","0.00","0.00","0.00","0","0.01","0.03","0.00","0"
"171470","2","0.00","0.13","0.25","11038.07","0.01","0.00","0.38","0"
"174997","3","0.63","0.13","0.13","3810.49","0.00","0.03","0.38","0"
"175032","3","1.44","0.11","0.00","4715.25","0.03","0.02","0.33","0"
"181157","3","1.38","0.38","0.00","6162.43","0.04","0.02","0.38","0"
"182191","1","0.00","0.13","0.13","537.67","0.00","0.01","0.13","1"
"187212","3","1.13","0.25","0.00","2798.57","0.05","0.01","0.38","1"
"189676","2","2.38","0.25","0.00","6707.31","0.02","0.00","0.25","1"
"190866","5","1.56","0.22","0.00","4286.00","0.00","0.01","0.56","0"
"195192","1","0.13","0.00","0.00","714.29","0.01","0.01","0.13","0"
"204943","6","6.75","1.13","0.13","18110.76","0.04","0.00","0.88","0"
"204997","4","2.75","0.38","0.25","10398.63","0.03","0.03","0.63","0"
"205044","3","1.78","0.11","0.00","9110.35","0.01","0.00","0.33","1"
"206011","4","1.25","0.13","0.00","2317.59","0.01","0.05","0.50","1"
"216796","1","2.75","0.50","0.13","10303.74","0.06","0.01","0.25","0"
"217114","0","0.00","0.00","0.00","0","0.01","0.05","0.00","1"
"217136","2","0.63","0.00","0.00","1578.57","0.04","0.00","0.25","1"
"220725","4","2.11","0.11","0.11","4764.92","0.02","0.01","0.56","0"
"224996","2","0.13","0.00","0.00","1128.61","0.00","0.01","0.25","1"
"226367","3","1.00","0.25","0.00","3817.21","0.01","0.00","0.38","0"
"228195","0","0.00","0.00","0.00","0","0.02","0.00","0.00","1"
"228872","2","1.75","0.13","0.00","1869.21","0.04","0.00","0.25","0"
"229009","3","0.63","0.13","0.13","5281.89","0.00","0.00","0.50","0"
"229108","1","0.00","0.00","0.13","877.22","0.05","0.03","0.25","0"
"229330","4","1.13","0.13","0.00","5990.11","0.00","0.01","0.50","0"
"232647","2","1.38","0.13","0.00","2580.1","0.01","0.00","0.25","0"
"249521","2","0.50","0.13","0.00","1208.02","0.03","0.05","0.25","1"
"252835","5","1.63","0.38","0.00","3378.55","0.04","0.01","0.63","1"
"258451","1","3.25","0.00","0.13","4628","0.02","0.00","0.25","0"
"264470","2","1.25","0.13","0.00","3091.02","0.01","0.01","0.25","1"
"276512","1","0.25","0.13","0.00","595.69","0.03","0.03","0.13","1"
"281952","2","0.38","0.38","0.00","1032.72","0.00","0.02","0.25","0"
"283325","2","0.88","0.00","0.00","3864.27","0.02","0.01","0.25","0"
"290123","7","2.11","0.67","0.00","10690.11","0.00","0.00","0.78","0"
"297546","5","3.63","0.38","0.00","5694.72","0.00","0.01","0.63","0"
"298253","1","0.00","0.25","0.00","712.42","0.06","0.02","0.13","1"
"299476","1","0.22","0.00","0.00","334.38","0.04","0.03","0.11","0"
"306165","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0"
"306819","2","0.50","0.13","0.13","1536.16","0.01","0.01","0.38","1"
"312488","1","0.13","0.13","0.00","706.1","0.03","0.03","0.13","0"
"313724","5","2.50","0.50","0.13","6390.30","0.00","0.00","0.75","0"
"316527","4","1.75","0.13","0.00","8142.89","0.02","0.01","0.50","1"
"317688","4","1.13","0.25","0.00","2987.74","0.06","0.01","0.50","1"
"322867","1","1.00","0.13","0.00","1685.04","0.03","0.03","0.13","0"
"324191","2","1.25","0.13","0.00","2631.74","0.03","0.02","0.25","0"
"328590","3","1.38","0.13","0.13","7221.61","0.01","0.04","0.50","0"
"330764","3","1.13","0.25","0.13","1845.04","0.00","0.01","0.50","0"
"330893","3","0.88","0.25","0.00","1847.61","0.00","0.01","0.38","1"
"331039","1","2.00","0.75","0.13","11269.74","0.01","0.02","0.25","1"
"334787","3","0.88","0.25","0.00","1948.17","0.01","0.00","0.38","0"
"337227","0","0.00","0.00","0.00","0","0.00","0.01","0.00","0"
"338086","2","0.50","0.13","0.00","1259.69","0.04","0.03","0.25","1"
"340166","1","0.25","0.00","0.00","474","0.01","0.01","0.13","1"
"343928","2","0.50","0.13","0.00","6014.62","0.07","0.01","0.25","0"
"347778","5","1.44","0.56","0.00","10412.69","0.03","0.00","0.56","0"
"348817","4","1.50","0.25","0.00","4807.62","0.01","0.00","0.50","0"
"348863","0","0.00","0.00","0.00","0","0.00","0.01","0.00","0"
"349132","3","1.78","0.11","0.00","4957.06","0.00","0.01","0.33","0"
"350648","1","1.00","0.00","0.13","1904.36","0.04","0.01","0.25","0"
"353271","1","0.13","0.00","0.00","680.4","0.02","0.02","0.13","1"
"353694","2","1.25","0.13","0.00","2236.37","0.03","0.00","0.25","1"
"354050","5","1.75","0.13","0.00","5064.88","0.01","0.01","0.63","0"
"354260","2","0.38","0.25","0.00","1945.01","0.04","0.00","0.25","0"
"354311","2","0.50","0.13","0.00","1460.89","0.01","0.00","0.25","0"
"354950","1","0.88","0.13","0.00","1349.54","0.00","0.01","0.13","0"
"356046","2","0.63","0.00","0.00","1581.81","0.02","0.01","0.25","0"
"357737","5","2.88","0.25","0.13","5925.90","0.00","0.03","0.75","1"
"359072","3","1.25","0.13","0.13","1936.47","0.05","0.00","0.50","1"
"359080","4","0.75","0.50","0.00","7213.56","0.01","0.03","0.50","0"
"359653","2","0.63","0.25","0.00","1918.33","0.03","0.02","0.25","0"
"361459","1","0.25","0.13","0.00","723.91","0.00","0.03","0.13","1"
"361759","4","0.56","0.22","0.00","2025.59","0.05","0.02","0.44","0"
"363535","3","1.63","0.38","0.13","3638.15","0.07","0.00","0.50","0"
"365825","2","2.38","0.13","0.13","4677.63","0.01","0.00","0.38","0"
"371201","1","0.00","0.38","0.00","199.47","0.05","0.01","0.13","1"
"372970","2","0.38","0.13","0.00","1977.3","0.03","0.04","0.25","0"
"373489","1","1.44","0.33","0.00","8777.31","0.07","0.06","0.11","1"
"374331","2","1.50","0.25","0.13","7192.52","0.06","0.03","0.38","0"
"374340","1","0.00","0.11","0.00","3966.19","0.00","0.01","0.11","0"
"374341","3","2.75","0.00","0.00","6840","0.01","0.00","0.38","0"
"375160","0","0.00","0.00","0.00","0","0.01","0.01","0.00","0"
"375729","3","1.13","0.13","0.00","3513.16","0.04","0.02","0.38","0"
"375751","3","0.88","0.13","0.00","1793.56","0.00","0.01","0.38","0"
"376159","2","0.75","0.13","0.00","1075.24","0.00","0.00","0.25","0"
"377069","1","0.00","0.25","0.13","1853.34","0.00","0.01","0.25","0"
"377411","2","0.75","0.00","0.00","2320.61","0.04","0.02","0.25","0"
"378565","5","5.63","0.13","0.00","9442.63","0.04","0.00","0.63","1"
"379543","3","1.00","0.13","0.00","3103.12","0.01","0.02","0.38","0"
"380434","3","1.00","0.13","0.00","2839.76","0.03","0.01","0.38","1"
"380436","1","0.63","0.13","0.00","938.25","0.00","0.04","0.13","0"
"380757","3","1.88","0.13","0.00","2071.62","0.01","0.01","0.38","1"
"380874","3","0.88","0.25","0.00","1901.25","0.00","0.07","0.38","0"
"380949","5","1.63","0.13","0.13","5144.87","0.00","0.02","0.75","0"
"381259","1","0.25","0.13","0.00","855.48","0.00","0.01","0.13","1"
"381465","4","4.63","0.00","0.13","3924.95","0.02","0.00","0.63","0"
"382181","3","0.75","0.25","0.00","2161.04","0.04","0.00","0.38","0"
"382384","1","0.13","0.13","0.00","384.63","0.00","0.00","0.13","0"
"382533","0","0.00","0.00","0.00","0","0.03","0.01","0.00","0"
"385689","4","2.13","0.13","0.00","4926.31","0.04","0.00","0.50","1"
"386255","1","0.50","0.00","0.00","2144","0.03","0.01","0.13","1"
"386469","0","0.00","0.00","0.00","0","0.03","0.00","0.00","0"
"386914","2","0.25","1.13","0.13","22977.09","0.01","0.05","0.38","1"
"387282","1","0.50","0.00","0.00","3960","0.04","0.01","0.13","1"
"387783","3","1.88","0.00","0.00","3229.26","0.06","0.01","0.38","1"
"388328","5","2.78","0.33","0.00","6215.70","0.03","0.03","0.56","1"
"388767","1","1.25","0.13","0.00","2262.34","0.00","0.00","0.13","1"
"388947","3","0.56","0.22","0.00","2267.09","0.07","0.01","0.33","0"
"389434","5","1.75","0.38","0.13","5084.63","0.04","0.00","0.75","0"
"389662","3","0.63","0.25","0.00","1566.18","0.06","0.00","0.38","0"
"389759","3","1.00","0.13","0.00","6495.69","0.06","0.00","0.38","1"
"390811","3","1.50","0.25","0.00","2726.02","0.01","0.00","0.38","0"
"392453","1","1.38","0.13","0.00","1559.98","0.02","0.03","0.13","0"
"395202","1","1.63","0.00","0.00","2964","0.03","0.00","0.13","0"
"395981","3","0.75","0.38","0.00","4812.92","0.03","0.00","0.38","0"
"396552","4","0.75","0.25","0.00","1766.85","0.00","0.01","0.50","0"
"399137","4","2.00","0.25","0.00","7335.47","0.06","0.00","0.50","0"
"399218","2","0.38","0.13","0.00","856.9","0.03","0.00","0.25","1"
"399799","4","1.38","0.25","0.00","2228.20","0.00","0.01","0.50","0"
"400275","2","0.63","0.13","0.00","2388.05","0.05","0.00","0.25","1"
"400582","4","1.38","0.00","0.00","3675.89","0.01","0.02","0.50","0"
"400899","3","1.50","0.25","0.00","3964.01","0.00","0.00","0.38","0"
"401245","3","1.00","0.00","0.00","1927.80","0.06","0.02","0.38","0"
"402332","2","0.38","0.00","0.00","1416.90","0.03","0.01","0.25","0"
"402978","4","2.00","0.38","0.00","3787.04","0.02","0.00","0.50","0"
"403881","4","1.75","0.38","0.00","5648.67","0.07","0.00","0.50","0"
"404879","4","1.50","0.25","0.00","7032.88","0.00","0.00","0.50","0"
"405305","3","0.67","0.22","0.00","3755.60","0.02","0.02","0.33","1"
"406210","2","1.75","0.13","0.00","2748.81","0.05","0.00","0.25","1"
"407118","3","6.25","0.38","0.13","9539.68","0.00","0.02","0.50","0"
"407250","4","1.50","0.13","0.00","3264.57","0.04","0.00","0.50","0"
"407275","4","2.00","0.25","0.00","3499.95","0.03","0.00","0.50","0"
"407434","1","1.13","0.00","0.00","3186","0.03","0.00","0.13","1"
"407642","2","0.50","0.00","0.00","1703.77","0.03","0.00","0.25","0"
"408551","2","0.67","0.11","0.00","1959.39","0.04","0.01","0.22","1"
"409073","3","0.88","0.38","0.00","2788.56","0.00","0.00","0.38","0"
"411179","3","2.75","0.13","0.13","7399.20","0.04","0.00","0.50","0"
"411701","2","0.38","0.13","0.00","1040.27","0.03","0.03","0.25","0"
"413128","5","2.90","0.10","0.00","14018.76","0.03","0.01","0.50","0"
"413340","3","1.00","0.25","0.00","1628.06","0.00","0.02","0.38","1"
"413418","3","0.88","0.38","0.00","866.67","0.03","0.02","0.38","0"
"413658","3","0.88","0.63","0.13","5926.58","0.02","0.01","0.50","1"
"414128","4","1.56","0.11","0.00","8799.65","0.01","0.02","0.44","0"
"415282","2","1.13","0.00","0.00","5917.88","0.00","0.06","0.25","1"
"415381","3","0.63","0.38","0.00","1155.21","0.00","0.02","0.38","0"
"415581","3","2.38","0.25","0.00","3667.77","0.01","0.00","0.38","0"
"416319","2","0.38","0.13","0.00","515.60","0.02","0.02","0.25","0"
"416580","5","1.75","0.13","0.13","3716.35","0.01","0.01","0.75","0"
"417679","5","1.88","0.25","0.00","5031.82","0.03","0.06","0.63","0"
"418329","3","3.50","0.25","0.00","3771.52","0.04","0.03","0.38","1"
"418488","4","2.00","0.25","0.00","4124.60","0.06","0.05","0.50","0"
"418692","3","2.20","0.10","0.10","9218.70","0.01","0.03","0.40","0"
"420648","3","1.50","0.00","0.00","4255.15","0.04","0.00","0.38","1"
"420669","4","2.88","0.38","0.25","5790.05","0.01","0.00","0.75","1"
"421247","4","1.25","0.25","0.00","2747.59","0.00","0.03","0.50","1"
"421515","2","0.50","0.13","0.00","1389.10","0.02","0.01","0.25","0"
"421666","2","0.75","0.38","0.13","2135.77","0.01","0.00","0.38","1"
"421700","3","2.13","0.00","0.00","4816.94","0.03","0.02","0.38","1"
"421870","3","0.88","1.00","0.00","24221.07","0.02","0.03","0.38","1"
"422066","4","2.75","0.63","0.00","5219.98","0.01","0.02","0.50","1"
"422668","0","0.00","0.00","0.00","0","0.04","0.01","0.00","0"
"423042","6","2.38","0.38","0.13","3835.36","0.03","0.01","0.88","1"
"423413","1","2.50","0.00","0.00","10760","0.09","0.00","0.13","0"
"424553","3","2.13","0.13","0.00","2312.35","0.09","0.04","0.38","0"
"425632","3","1.38","0.13","0.00","3216.98","0.01","0.01","0.38","0"
"425653","0","0.00","0.00","0.00","0","0.01","0.00","0.00","1"
"425953","4","1.25","0.00","0.00","2391.41","0.02","0.01","0.50","0"
"425966","2","0.63","0.13","0.00","1979.67","0.00","0.00","0.25","0"
"426478","2","1.13","0.00","0.13","3780.48","0.03","0.02","0.38","0"
"427426","3","0.50","0.13","0.00","978.65","0.05","0.01","0.38","0"
"427506","3","1.13","0.38","0.13","3873.68","0.03","0.01","0.50","1"
"428056","4","1.50","0.00","0.00","4577.27","0.06","0.00","0.50","0"
"428552","2","0.38","0.00","0.00","1394.89","0.03","0.01","0.25","0"
"428858","3","4.38","0.13","0.13","11643.33","0.01","0.00","0.50","0"
"429345","1","0.75","0.00","0.00","714","0.01","0.02","0.13","1"
"429375","3","0.38","0.25","0.13","3403.83","0.00","0.00","0.50","0"
"430722","3","2.13","0.25","0.13","5612.99","0.03","0.01","0.50","0"
"431144","2","1.13","0.00","0.00","2009.82","0.04","0.04","0.25","0"
"431337","3","1.13","0.38","0.00","3306.66","0.00","0.01","0.38","0"
"431602","3","0.63","0.38","0.13","4276.35","0.03","0.01","0.50","0"
"431746","1","0.25","0.25","0.00","986.16","0.00","0.02","0.13","0"
"431899","1","1.25","0.00","0.13","2817.18","0.02","0.00","0.25","0"
"431912","1","0.00","0.13","0.00","295.89","0.01","0.03","0.13","1"
"432333","2","1.25","0.13","0.00","2260.36","0.00","0.04","0.25","1"
"432637","3","1.00","0.13","0.00","2820.70","0.03","0.02","0.38","1"
"432941","4","2.75","0.13","0.00","6964.72","0.00","0.01","0.50","0"
"433080","4","1.88","0.38","0.00","3378.21","0.00","0.03","0.50","0"
"433339","2","1.88","0.13","0.00","2565.64","0.01","0.01","0.25","1"
"433905","1","1.75","0.00","0.00","3920","0.01","0.00","0.13","0"
"434238","2","0.13","0.13","0.00","140.92","0.00","0.01","0.25","1"
"434623","4","1.75","0.13","0.13","5988.95","0.02","0.02","0.63","0"
"435231","2","1.00","0.11","0.00","1051.88","0.02","0.01","0.22","0"
"435596","2","0.75","0.13","0.00","2141.43","0.10","0.02","0.25","0"
"435669","2","0.25","0.13","0.00","1762.24","0.04","0.01","0.25","1"
